School Name,Nickname,Mascot,Conference
"Abilene Christian","ACU","Wildcats","Western Athletic Conference"
"Air Force","Air Force","Falcons","Mountain West Conference"
"Akron","Akron","Zips","Mid-American Conference"
"Alabama A&M","Alabama A&M","Bulldogs","Southwestern Athletic Conference"
"Alabama State","Alabama State","Hornets","Southwestern Athletic Conference"
"Albany","Albany","Great Danes","America East Conference"
"Alcorn State","Alcorn State","Braves","Southwestern Athletic Conference"
"American","American","Eagles","Patriot League"
"Appalachian State","App State","Mountaineers","Sun Belt Conference"
"Arizona State University","ASU","Sun Devils","Big 12 Conference"
"Arkansas State","Arkansas State","Red Wolves","Sun Belt Conference"
"Arkansas-Pine Bluff","UAPB","Golden Lions","Southwestern Athletic Conference"
"Army","Army","Black Knights","Patriot League"
"Auburn University","Auburn","Tigers","Southeastern Conference"
"Austin Peay","Austin Peay","Governors","ASUN Conference"
"Ball State","Ball State","Cardinals","Mid-American Conference"
"Baylor University","Baylor","Bears","Big 12 Conference"
"Bellarmine","Bellarmine","Knights","ASUN Conference"
"Belmont","Belmont","Bruins","Missouri Valley Conference"
"Bethune-Cookman","Bethune Cookman","Wildcats","Southwestern Athletic Conference"
"Binghamton","Binghamton","Bearcats","America East Conference"
"Boise State","Boise State","Broncos","Mountain West Conference"
"Boston College","BC","Eagles","Atlantic Coast Conference"
"Boston University","BU","Terriers","Patriot League"
"Bowling Green","BGSU","Falcons","Mid-American Conference"
"Bradley","Bradley","Braves","Missouri Valley Conference"
"Brigham Young University","BYU","Cougars","Big 12 Conference"
"Brown","Brown","Bears","Ivy League"
"Bryant","Bryant","Bulldogs","America East Conference"
"Bucknell","Bucknell","Bison","Patriot League"
"Buffalo","Buffalo","Bulls","Mid-American Conference"
"Butler University","Butler","Bulldogs","Big East Conference"
"Cal Poly","Cal Poly","Mustangs","Big West Conference"
"Cal State Bakersfield","CSUB","Roadrunners","Big West Conference"
"Cal State Fullerton","CSUF","Titans","Big West Conference"
"Cal State Northridge","CSUN","Matadors","Big West Conference"
"California Baptist","CBU","Lancers","Western Athletic Conference"
"Campbell","Campbell","Fighting Camels","Coastal Athletic Association"
"Campbell","Campbell","Fighting Camels","Big South Conference"
"Canisius","Canisius","Golden Griffins","Metro Atlantic Athletic Conference"
"Central Arkansas","UCA","Bears","ASUN Conference"
"Central Connecticut","CCSU","Blue Devils","Northeast Conference"
"Central Michigan","CMU","Chippewas","Mid-American Conference"
"Charleston","CofC","Cougars","Coastal Athletic Association"
"Charleston Southern","CSU","Buccaneers","Big South Conference"
"Charlotte 49ers","Charlotte","49ers","American Athletic Conference"
"Chattanooga","Chattanooga","Mocs","Southern Conference"
"Citadel","The Citadel","Bulldogs","Southern Conference"
"Clemson University","Clemson","Tigers","Atlantic Coast Conference"
"Cleveland State","CSU","Vikings","Horizon League"
"Coastal Carolina","Coastal","Chanticleers","Sun Belt Conference"
"Colgate","Colgate","Raiders","Patriot League"
"Colorado State","Colorado State","Rams","Mountain West Conference"
"Columbia","Columbia","Lions","Ivy League"
"Coppin State","Coppin State","Eagles","Mid-Eastern Athletic Conference"
"Cornell","Cornell","Big Red","Ivy League"
"Creighton University","Creighton","Bluejays","Big East Conference"
"Dartmouth","Dartmouth","Big Green","Ivy League"
"Davidson","Davidson","Wildcats","Atlantic 10 Conference"
"Dayton","Dayton","Flyers","Atlantic 10 Conference"
"Delaware","Delaware","Fightin Blue Hens","Coastal Athletic Association"
"Delaware State","Delaware State","Hornets","Mid-Eastern Athletic Conference"
"Denver","Denver","Pioneers","Summit League"
"DePaul University","DePaul","Blue Demons","Big East Conference"
"Detroit Mercy","Detroit Mercy","Titans","Horizon League"
"Drake","Drake","Bulldogs","Missouri Valley Conference"
"Drexel","Drexel","Dragons","Coastal Athletic Association"
"Duke University","Duke","Blue Devils","Atlantic Coast Conference"
"Duquesne University","Duquesne","Dukes","Atlantic 10 Conference"
"East Carolina University","ECU","Pirates","American Athletic Conference"
"East Tennessee State","ETSU","Buccaneers","Southern Conference"
"Eastern Illinois","EIU","Panthers","Ohio Valley Conference"
"Eastern Kentucky","EKU","Colonels","ASUN Conference"
"Eastern Michigan","EMU","Eagles","Mid-American Conference"
"Eastern Washington","EWU","Eagles","Big Sky Conference"
"Elon","Elon","Phoenix","Coastal Athletic Association"
"Evansville","Evansville","Purple Aces","Missouri Valley Conference"
"Fairfield","Fairfield","Stags","Metro Atlantic Athletic Conference"
"Fairleigh Dickinson","FDU","Knights","Northeast Conference"
"Florida Atlantic University","FAU","Owls","American Athletic Conference"
"Florida Gulf Coast","FGCU","Eagles","ASUN Conference"
"Florida International University","FIU","Panthers","Conference USA"
"Florida State University","FSU","Seminoles","Atlantic Coast Conference"
"Fordham","Fordham","Rams","Atlantic 10 Conference"
"Fresno State","Fresno State","Bulldogs","Mountain West Conference"
"Furman","Furman","Paladins","Southern Conference"
"Gardner-Webb","Gardner Webb","Runnin Bulldogs","Big South Conference"
"George Mason","George Mason","Patriots","Atlantic 10 Conference"
"George Washington","GW","Colonials","Atlantic 10 Conference"
"Georgetown University","Georgetown","Hoyas","Big East Conference"
"Georgia Institute of Technology","GT","Yellow Jackets","Atlantic Coast Conference"
"Georgia Southern","Georgia Southern","Eagles","Sun Belt Conference"
"Georgia State","Georgia State","Panthers","Sun Belt Conference"
"Gonzaga","Gonzaga","Bulldogs","West Coast Conference"
"Grambling State","Grambling State","Tigers","Southwestern Athletic Conference"
"Grand Canyon","GCU","Antelopes","Western Athletic Conference"
"Green Bay","Green Bay","Phoenix","Horizon League"
"Hampton","Hampton","Pirates","Coastal Athletic Association"
"Hartford University","Hartford","Hawks","America East Conference"
"Harvard","Harvard","Crimson","Ivy League"
"Hawai'i","Hawai'i","Rainbow Warriors","Mountain West Conference"
"Hawaii","Hawaii","Rainbow Warriors","Big West Conference"
"High Point","High Point","Panthers","Big South Conference"
"Hofstra","Hofstra","Pride","Coastal Athletic Association"
"Holy Cross","Holy Cross","Crusaders","Patriot League"
"Houston Christian","HCU","Huskies","Southland Conference"
"Howard","Howard","Bison","Mid-Eastern Athletic Conference"
"Idaho","Idaho","Vandals","Big Sky Conference"
"Idaho State","Idaho State","Bengals","Big Sky Conference"
"Illinois","Illinois","Fighting Illini","Big Ten Conference"
"Illinois State","Illinois State","Redbirds","Missouri Valley Conference"
"Incarnate Word","UIW","Cardinals","Southland Conference"
"Indiana","Indiana","Hoosiers","Big Ten Conference"
"Indiana State","Indiana State","Sycamores","Missouri Valley Conference"
"Iona","Iona","Gaels","Metro Atlantic Athletic Conference"
"Iowa","Iowa","Hawkeyes","Big Ten Conference"
"IUPUI","IUPUI","Jaguars","Horizon League"
"Jackson State","Jackson State","Tigers","Southwestern Athletic Conference"
"Jacksonville","JU","Dolphins","ASUN Conference"
"Jacksonville State","Jacksonville State","Gamecocks","ASUN Conference"
"Jacksonville State University","Jax State","Gamecocks","Conference USA"
"James Madison","JMU","Dukes","Sun Belt Conference"
"Kansas City","Kansas City","Roos","Summit League"
"Kansas State University","Kansas St","Wildcats","Big 12 Conference"
"Kennesaw State","Kennesaw State","Owls","ASUN Conference"
"Kent State","Kent State","Golden Flashes","Mid-American Conference"
"La Salle","La Salle","Explorers","Atlantic 10 Conference"
"Lafayette","Lafayette","Leopards","Patriot League"
"Lamar","Lamar","Cardinals","Southland Conference"
"Lehigh","Lehigh","Mountain Hawks","Patriot League"
"Liberty University","Liberty","Flames","Conference USA"
"Lindenwood","Lindenwood","Lions","Ohio Valley Conference"
"Lipscomb","Lipscomb","Bisons","ASUN Conference"
"Little Rock","Little Rock","Trojans","Ohio Valley Conference"
"LIU","LIU","Sharks","Northeast Conference"
"Long Beach State","LBSU","Beach","Big West Conference"
"Longwood","Longwood","Lancers","Big South Conference"
"Louisiana","Louisiana","Ragin Cajuns","Sun Belt Conference"
"Louisiana State University","LSU","Tigers","Southeastern Conference"
"Louisiana Tech University","La Tech","Bulldogs","Conference USA"
"Loyola Chicago","Loyola Chicago","Ramblers","Atlantic 10 Conference"
"Loyola Maryland","Loyola","Greyhounds","Patriot League"
"Loyola Marymount","LMU","Lions","West Coast Conference"
"Maine","Maine","Black Bears","America East Conference"
"Manhattan","Manhattan","Jaspers","Metro Atlantic Athletic Conference"
"Marist","Marist","Red Foxes","Metro Atlantic Athletic Conference"
"Marquette University","Marquette","Golden Eagles","Big East Conference"
"Marshall","Marshall","Thundering Herd","Sun Belt Conference"
"Maryland Eastern Shore","UMES","Hawks","Mid-Eastern Athletic Conference"
"Massachusetts","UMass","Minutemen","Atlantic 10 Conference"
"McNeese State","McNeese","Cowboys","Southland Conference"
"Mercer","Mercer","Bears","Southern Conference"
"Merrimack","Merrimack","Warriors","Northeast Conference"
"Miami","Miami (OH)","RedHawks","Mid-American Conference"
"Michigan","Michigan","Wolverines","Big Ten Conference"
"Michigan State","Michigan St","Spartans","Big Ten Conference"
"Middle Tennessee State University","Middle Tennessee","Blue Raiders","Conference USA"
"Milwaukee","Milwaukee","Panthers","Horizon League"
"Minnesota","Minnesota","Golden Gophers","Big Ten Conference"
"Mississippi State University","Miss St","Bulldogs","Southeastern Conference"
"Mississippi Valley State","MVSU","Delta Devils","Southwestern Athletic Conference"
"Missouri State","Missouri State","Bears","Missouri Valley Conference"
"Monmouth","Monmouth","Hawks","Coastal Athletic Association"
"Montana","Montana","Grizzlies","Big Sky Conference"
"Montana State","Montana State","Bobcats","Big Sky Conference"
"Morehead State","Morehead State","Eagles","Ohio Valley Conference"
"Morgan State","Morgan State","Bears","Mid-Eastern Athletic Conference"
"Mount St. Mary's","Mt. St. Marys","Mountaineers","Metro Atlantic Athletic Conference"
"Murray State","Murray State","Racers","Missouri Valley Conference"
"Navy","Navy","Midshipmen","Patriot League"
"Navy","Navy","Midshipmen","American Athletic Conference"
"Nebraska","Nebraska","Cornhuskers","Big Ten Conference"
"Nevada","Nevada","Wolf Pack","Mountain West Conference"
"New Hampshire","UNH","Wildcats","America East Conference"
"New Mexico","New Mexico","Lobos","Mountain West Conference"
"New Mexico State University","NMSU","Aggies","Conference USA"
"New Orleans","UNO","Privateers","Southland Conference"
"Niagara","Niagara","Purple Eagles","Metro Atlantic Athletic Conference"
"Nicholls State","Nicholls","Colonels","Southland Conference"
